Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","016","American Samoa","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3035","Population census","1000 persons","0.501","X","Figure from international organizations","Nonstandard economic activity: Including C Age coverage - minimum age: 16 years old"
"OEA","Employment Indicators: Agriculture","024","Angola","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3021","Household income and expenditure survey","1000 persons","2594.926","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","024","Angola","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3021","Household income and expenditure survey","1000 persons","3477.912","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","024","Angola","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3023","Labour force survey","1000 persons","3060.819","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","024","Angola","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2014","2014","3035","Population census","1000 persons","2349.523","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3023","Labour force survey","1000 persons","127.364","X","Figure from international organizations","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3023","Labour force survey","1000 persons","133.34","X","Figure from international organizations","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3023","Labour force survey","1000 persons","68.041","X","Figure from international organizations","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2012","2012","3023","Labour force survey","1000 persons","66.354","X","Figure from international organizations","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2013","2013","3023","Labour force survey","1000 persons","67.219","X","Figure from international organizations","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2014","2014","3023","Labour force survey","1000 persons","60.228","X","Figure from international organizations","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures. Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","6.84","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2018","2018","3023","Labour force survey","1000 persons","11.153","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2019","2019","3023","Labour force survey","1000 persons","6.969","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","032","Argentina","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2020","2020","3023","Labour force survey","1000 persons","3.574","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3021","Household income and expenditure survey","1000 persons","454.841","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3021","Household income and expenditure survey","1000 persons","457.44","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3021","Household income and expenditure survey","1000 persons","457.39","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2012","2012","3021","Household income and expenditure survey","1000 persons","437.159","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2013","2013","3021","Household income and expenditure survey","1000 persons","422.122","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2014","2014","3023","Labour force survey","1000 persons","394.765","X","Figure from international organizations","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2015","2015","3023","Labour force survey","1000 persons","378.953","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2016","2016","3023","Labour force survey","1000 persons","338.055","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","317.111","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2018","2018","3023","Labour force survey","1000 persons","270.298","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","051","Armenia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2019","2019","3023","Labour force survey","1000 persons","233.138","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 75 years old"
"OEA","Employment Indicators: Agriculture","533","Aruba","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3023","Labour force survey","1000 persons","0.286","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","533","Aruba","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3035","Population census","1000 persons","0.296","X","Figure from international organizations","Data reference period: September | Age coverage - minimum age: 14 years old"
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3023","Labour force survey","1000 persons","348.493","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3023","Labour force survey","1000 persons","355.062","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3023","Labour force survey","1000 persons","315.192","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2012","2012","3023","Labour force survey","1000 persons","317.115","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2013","2013","3023","Labour force survey","1000 persons","299.287","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2014","2014","3023","Labour force survey","1000 persons","323.517","X","Figure from international organizations","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2015","2015","3023","Labour force survey","1000 persons","311.3","X","Figure from international organizations","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2016","2016","3023","Labour force survey","1000 persons","314.2","X","Figure from international organizations","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","318.393","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2018","2018","3023","Labour force survey","1000 persons","329.66","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2019","2019","3023","Labour force survey","1000 persons","329.869","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","036","Australia","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2020","2020","3023","Labour force survey","1000 persons","350.534","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3023","Labour force survey","1000 persons","211.943","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3023","Labour force survey","1000 persons","209.401","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3023","Labour force survey","1000 persons","200.091","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2012","2012","3023","Labour force survey","1000 persons","190.96","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2013","2013","3023","Labour force survey","1000 persons","187.82","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2014","2014","3023","Labour force survey","1000 persons","198.926","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2015","2015","3023","Labour force survey","1000 persons","187.959","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2016","2016","3023","Labour force survey","1000 persons","183.503","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","167.428","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2018","2018","3023","Labour force survey","1000 persons","159.549","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2019","2019","3023","Labour force survey","1000 persons","159.22","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","040","Austria","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2020","2020","3023","Labour force survey","1000 persons","167.869","X","Figure from international organizations","Repository: Eurostat special tabulation"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3023","Labour force survey","1000 persons","1628.576","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3023","Labour force survey","1000 persons","1655.014","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3023","Labour force survey","1000 persons","1657.476","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2012","2012","3023","Labour force survey","1000 persons","1673.806","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2013","2013","3023","Labour force survey","1000 persons","1677.39","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2014","2014","3023","Labour force survey","1000 persons","1691.725","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2015","2015","3023","Labour force survey","1000 persons","1698.4","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2016","2016","3023","Labour force survey","1000 persons","1729.6","X","Figure from international organizations","Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","1752.864","X","Figure from international organizations","Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2018","2018","3023","Labour force survey","1000 persons","1769.3","X","Figure from international organizations","Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","031","Azerbaijan","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2019","2019","3023","Labour force survey","1000 persons","1777.705","X","Figure from international organizations","Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","044","Bahamas","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3023","Labour force survey","1000 persons","4.53","X","Figure from international organizations","Data reference period: May"
"OEA","Employment Indicators: Agriculture","044","Bahamas","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3023","Labour force survey","1000 persons","6.04","X","Figure from international organizations","Data reference period: May"
"OEA","Employment Indicators: Agriculture","048","Bahrain","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2015","2015","3033","Official estimates","1000 persons","8.155","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","048","Bahrain","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3035","Population census","1000 persons","7.551","X","Figure from international organizations","Data reference period: April"
"OEA","Employment Indicators: Agriculture","050","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3023","Labour force survey","1000 persons","25582.228","X","Figure from international organizations","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","050","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2013","2013","3023","Labour force survey","1000 persons","26189.986","X","Figure from international organizations","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","050","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2016","2016","3023","Labour force survey","1000 persons","25398.247","X","Figure from international organizations","Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OEA","Employment Indicators: Agriculture","050","Bangladesh","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","24692.56","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2009","2009","3023","Labour force survey","1000 persons","3.775","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2010","2010","3023","Labour force survey","1000 persons","3.6","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2011","2011","3023","Labour force survey","1000 persons","4.2","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2012","2012","3023","Labour force survey","1000 persons","3.475","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2013","2013","3023","Labour force survey","1000 persons","3.4","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2014","2014","3023","Labour force survey","1000 persons","3.375","X","Figure from international organizations",""
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2015","2015","3023","Labour force survey","1000 persons","3.7","X","Figure from international organizations","Break in series Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2016","2016","3023","Labour force survey","1000 persons","3.805","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","4.031","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2018","2018","3023","Labour force survey","1000 persons","3.966","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","052","Barbados","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2019","2019","3023","Labour force survey","1000 persons","3.535","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","112","Belarus","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2016","2016","3023","Labour force survey","1000 persons","472.787","X","Figure from international organizations","Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old"
"OEA","Employment Indicators: Agriculture","112","Belarus","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2017","2017","3023","Labour force survey","1000 persons","524.073","X","Figure from international organizations","Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Institutional sector coverage: Private sector only | Age coverage - maximum age: 74 years old"
"OEA","Employment Indicators: Agriculture","112","Belarus","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2018","2018","3023","Labour force survey","1000 persons","553.85","X","Figure from international organizations","Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents"
"OEA","Employment Indicators: Agriculture","112","Belarus","21066","Employment in agriculture, forestry and fishing by age, total (15+)","13","Total","2019","2019","3023","Labour force survey","1000 persons","542.77","X","Figure from international organizations","Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old"
